"","date","state","new","policy"
"1",2020-03-19,"Alabama",32,0
"2",2020-03-19,"Alaska",3,0
"3",2020-03-19,"Arizona",18,0
"4",2020-03-19,"California",201,1
"5",2020-03-19,"Colorado",93,0
"6",2020-03-19,"Connecticut",91,0
"7",2020-03-19,"Delaware",11,0
"8",2020-03-19,"District of Columbia",9,0
"9",2020-03-19,"Florida",103,0
"10",2020-03-19,"Georgia",88,0
"11",2020-03-19,"Hawaii",2,0
"12",2020-03-19,"Idaho",2,0
"13",2020-03-19,"Illinois",260,0
"14",2020-03-19,"Indiana",21,0
"15",2020-03-19,"Kansas",16,0
"16",2020-03-19,"Louisiana",135,0
"17",2020-03-19,"Maine",10,0
"18",2020-03-19,"Maryland",22,0
"19",2020-03-19,"Michigan",251,0
"20",2020-03-19,"Minnesota",12,0
"21",2020-03-19,"Mississippi",16,0
"22",2020-03-19,"Missouri",13,0
"23",2020-03-19,"Nevada",40,0
"24",2020-03-19,"New Hampshire",18,0
"25",2020-03-19,"New Jersey",475,0
"26",2020-03-19,"New Mexico",12,0
"27",2020-03-19,"New York",2870,0
"28",2020-03-19,"North Carolina",53,0
"29",2020-03-19,"Ohio",33,0
"30",2020-03-19,"Oregon",20,0
"31",2020-03-19,"Pennsylvania",54,0
"32",2020-03-19,"Rhode Island",11,0
"33",2020-03-19,"South Carolina",34,0
"34",2020-03-19,"Tennessee",75,0
"35",2020-03-19,"Texas",87,0
"36",2020-03-19,"Utah",29,0
"37",2020-03-19,"Vermont",4,0
"38",2020-03-19,"Virginia",22,0
"39",2020-03-19,"Washington",362,0
"40",2020-03-19,"West Virginia",1,0
"41",2020-03-19,"Wisconsin",67,0
"42",2020-03-19,"Montana",3,0
"43",2020-03-20,"Alabama",5,0
"44",2020-03-20,"Alaska",3,0
"45",2020-03-20,"Arizona",33,0
"46",2020-03-20,"California",225,1
"47",2020-03-20,"Colorado",86,0
"48",2020-03-20,"Connecticut",35,0
"49",2020-03-20,"Delaware",8,0
"50",2020-03-20,"District of Columbia",31,0
"51",2020-03-20,"Florida",146,0
"52",2020-03-20,"Georgia",133,0
